org_name,count
"Indivisibles: 36, 41, CA-14,CA-25 Simi Valley Porter Ranch, CA-43, CA-45, Alta Pasadena, Auburn CA, Beach Cities, California Green Team, Claremont/Inland Valley, Cloverdale, Colusa County, East Bay, East Valley, El Dorado Hills, Elmwood, Euclid, Fremont, Hillcrest, Indian Valley, Lakewood, Livermore, Los Angeles, Manteca, Marin, Media City Burbank, Mendocino, Mid-Peninsula, Monterey, Normal Heights, OC 46, OC 48, Of the Desert, Orchard City, Palo Alto Plus, Petaluma, Redlands, Resisters Walnut Creek, Ross Valley, Sacramento, San Diego Central, San Jose, San Pedro, Santa Barbara, Santa Cruz County, Sausalito, Sebastopol, San Francisco, San Francisco Peninsula, SFV, Sonoma County, South Bay LA, Stanislaus, Stockton, The Resistance Northridge, Tracy, Tri-Valley, TWW - Los Gatos, Ventura, West Side LA, Yalla, and Yolo",1
"Indivisibles: CA: StateStrong, Cloverdale, Livermore, Sacramento, San Jose, Santa Cruz Mountains, and South Bay LA",1
"Indivisibles: California Green Team, California StateStrong, Marin, Resisters",1
"Indivisibles: California Green Team, Orchard City, Sausalito, SFV, Sonoma",1
"Kent Lewandowski, Chair, Sierra Club Northern Alameda Group",1
"League, Sierra Club California, StopWaste.Org (Alameda)",1
"Los Angeles County Board of Supervisors, Supervisor Hilda Solis, Los Angeles Indivisible",1
"National Audubon Society, Sierra Club",1
"Natural Resources Defense Council, Sierra Club",1
"Nature Conservancy, The Sierra Club California",1
"Office of the Governor, Sierra Club",1
"Organizing Project, Sierra Club California, Planning and Conservation League",1
Parole and Correctional Association Los Angeles County Probation Department Union,1
"Paw Project, The Sierra Club California",1
Planning & Conservation League and Sierra Club,1
Planning and Conservation League Sempra Energy Sierra Club,1
Planning and Conservation League and Sierra Club,1
"Planning and Conservation League, Sierra Club, South Coast Air Quality Management District",1
Regional Council of the Southern California Association of Governments Sierra Club,1
"Responsibility-Los Angeles, Planning and Conservation League, Sierra Club California, The Beast Cancer Fund",1
"River Otter Ecology Project, The Sierra Club California",1
"Roseville Chamber of Commerce, Shingle Springs/Cameron Park Chamber of Commerce",1
"San Francisco Mayor London Breed, San Francisco Supervisor Aaron Peskin, Chinatown Community Development Center, Chinatown Transportation Research and Improvement Project, Lyft, San Francisco Bicycle Coalition, San Francisco Chamber of Commerce, San Francisco County Transportation Authority, San Francisco Transit Riders, Sierra Club California, Uber, Walk San Francisco",1
"Schools Advocacy Association, Sierra Club",1
Self Help Enterprises Sierra Club California,1
"Sheep Heal Project, The Sierra Club",1
Sierra Club & Ca. State Pipe Trades Council,1
Sierra Club California Baldwin Hills Conservancy Board of,1
Sierra Club California Coastal,1
"Sierra Club California, The Breast Cancer Fund",1
Sierra Club Defenders of Wildlife,1
"Sierra Club, CALPIRG",1
"Sierra Club, Planning & Conservation League",1
"Sierra Club, Planning and Conservation League, California Chapter of the American Planning",1
"Sierra Club, Sonoma County Water Agency",1
"Sierra Club, The Ocean Conservancy",1
"State Board of Equalization, BOE Member Fiona Ma, BOE Member George Runner, Air Logistics Corporation, California Chamber of Commerce, California Grocers Association, California Independent Petroleum Association, California Retailers Association, California Society of Enrolled Agents, California Tank Lines Inc., California Taxpayers Association, Chemical Transfer Co., Family Business Association, Flasher Barricade Association, League of California Cities, National Federation of Independent Business, Orange County Taxpayers Association, Superior Tank Wash Inc., West Coast Leasing, LLC",1
"State Board of Equalization, BOE Member Fiona Ma, BOE Member George Runner, California Asian Pacific Chamber of Commerce, California Society of Enrolled Agents, Castro Valley/Eden Area Chamber of Commerce",1
"State Controller Betty Yee, State Treasurer Fiona Ma , California Association of County Treasurer-Tax Collectors, California Bankers Association, California Chamber of Commerce, California Community Banking Network, California Credit Union League, California Taxpayers Association",1
"State Council of Education, Planning and Conservation League, Sierra Club California, State Superintendent of Public Instruction",1
"State Department of Finance, Sierra Club California",1
Statewide Monterey Park Chamber of Commerce Natural Resources Defense Council Physicians for Social Responsibility Riverside County Asthma Coalition San Gabriel Valley Council of Governments Sierra Club South Bay Cities COG South Pasadena Chamber of Commerce INDIVIDUALS CITIES OF: Arcadia,1
"Susan St Louis, Indivisible",1
Tort Reform Sierra Club California,1
"Waste Management Task Force, Sierra Club California",1
"WateReuse, Sierra Club, League of California Cities",1
"William J. Craven, State Director, Sierra Club California",1
AFL-CIO (AFSCME) California Labor Federation,1
AFL-CIO California Professional Firefighters California School Employees Association United Domestic Workers/ American Federation of State,1
"AFSCME 3299, Alameda Labor Council",1
AFSCME AtHoc,1
AFSCME Housing California,1
AFSCME National Association of Social Workers,1
AFSCME and La Raza Roundtable,1
"AFSCME, California Federation of Teacher",1
"AFSCME, California Professional Firefighters, California State Firefighters' Association",1
