org_name,count,in_crosswalk,match_type,canonical_name
California Women's Law Center,1169,yes,exact,CALIFORNIA WOMEN'S LAW CENTER
Courage California,1169,yes,exact,COURAGE CALIFORNIA
California Public Interest Research Group,1162,yes,exact,Public Interest Research Group
Youth Law Center,1160,yes,exact,YOUTH LAW CENTER
City of Long Beach,1156,yes,exact,STATE OF CALIFORNIA
California Fire Chiefs Association,1149,yes,exact,California Fire Chiefs Association
California Psychological Association,1149,yes,exact,American Psychological Association
City of Thousand Oaks,1143,yes,exact,STATE OF CALIFORNIA
California Commission on Aging,1137,yes,exact,California Commission on Aging
California League of Food Processors,1133,yes,exact,CALIFORNIA LEAGUE OF FOOD PROCESSORS
City of West Hollywood,1124,yes,exact,STATE OF CALIFORNIA
California Association of Clerks and Election Officials,1123,yes,exact,CALIFORNIA ASSOCIATION OF CLERKS AND ELECTION OFFICIALS
Public Advocates,1122,yes,exact,PUBLIC ADVOCATES
City of Santa Monica,1118,yes,exact,STATE OF CALIFORNIA
Western States Council of Sheet Metal Workers,1117,yes,exact,WESTERN STATES COUNCIL OF SHEET METAL WORKERS
Alameda County Board of Supervisors,1116,yes,exact,STATE OF CALIFORNIA
California Association of Sanitation Agencies,1115,yes,exact,CALIFORNIA ASSOCIATION OF SANITATION AGENCIES
California Communities United Institute,1115,yes,exact,CALIFORNIA COMMUNITIES UNITED INSTITUTE
California Cattlemen's Association,1109,yes,exact,CALIFORNIA CATTLEMEN'S ASSOCIATION
State Building and Construction Trades Council of California,1105,yes,exact,North America's Building Trades Unions
California Optometric Association,1102,yes,exact,AMERICAN OPTOMETRIC ASSOCIATION
California Partnership to End Domestic Violence,1098,yes,exact,CALIFORNIA PARTNERSHIP TO END DOMESTIC VIOLENCE
Automobile Club of Southern California,1092,yes,exact,American Automobile Association
County Health Executives Association of California,1087,yes,exact,COUNTY HEALTH EXECUTIVES ASSOCIATION OF CALIFORNIA
California Newspaper Publishers Association,1077,yes,exact,CALIFORNIA NEWS PUBLISHERS ASSOCIATION
Privacy Rights Clearinghouse,1064,yes,exact,PRIVACY RIGHTS CLEARINGHOUSE
California Association of Winegrape Growers,1061,yes,exact,California Association of Wine Growers
National Association of Social Workers,1061,yes,exact,National Association of Social Workers
Californians for Safety and Justice,1057,yes,exact,CALIFORNIANS FOR SAFETY AND JUSTICE
California Applicants' Attorneys Association,1055,yes,exact,CALIFORNIA APPLICANT ATTORNEYS ASSOCIATION
California Association of Joint Powers Authorities,1055,yes,exact,Association of Joint Powers Authorities
Latino Coalition for a Healthy California,1052,yes,exact,LATINO COALITION FOR A HEALTHY CALIFORNIA
AIDS Healthcare Foundation,1044,yes,exact,AIDS HEALTHCARE FOUNDATION
California Association of School Business Officials,1043,yes,exact,California Association of School Business Officials
National Health Law Program,1042,yes,exact,NATIONAL HEALTH LAW PROGRAM
Mexican American Legal Defense and Educational Fund,1038,yes,exact,MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND
Older Women's League of California,1037,yes,exact,Older Women's League of California
California Pharmacists Association,1030,yes,exact,California Pharmacists Association
Medical Board of California,1026,yes,exact,Medical Board of California (Board)
County of San Bernardino,1022,yes,exact,County of Bernardino
California Police Chiefs' Association,1019,yes,normalized,California Police Chiefs Association
Western Electrical Contractors Association,1018,yes,exact,"Western Electrical Contractors Association, Inc."
Oakland Privacy,1014,yes,exact,OAKLAND PRIVACY
