norm,action,winner,winner_cluster,winner_size,loser,loser_cluster,loser_is_canonical,metadata_dropped
grace end child poverty ca,cross-tree,Grace - End Child Poverty CA,48989,1,GRACE - End Child Poverty CA,41255,False,False
engineer and scientists of california local 20 ifpte local 20 aflcio,cross-tree,"Engineer and Scientists of California, Local 20, IFPTE Local 20, AFL-CIO",41460,1,"Engineer and Scientists of California, Local 20, IFPTE Local 20, AFL-CIO",41425,False,False
engineering general contractors assoc of san diego,cross-tree,Engineering General Contractor's Assoc.: of San Diego,41437,1,Engineering General Contractor's Assoc.: of San Diego,41445,False,False
engineers inc,cross-tree-fold,"Engineers, Inc",56320,1,"Engineers, Inc.",41465,True,False
executive council of homeowners echo,cross-tree-fold,Executive Council of Homeowners (ECHO),42592,1,Executive Council of Homeowners (ECHO),42593,True,False
fairfieldsuisun sewer district,cross-tree,Fairfield-Suisun Sewer District,42991,2,Fairfield-suisun Sewer District,42987,False,False
federation of fly fishers,cross-tree,Federation of Fly Fishers,43771,26,Federation of Fly Fishers,43772,False,False
the fund for the feminist majority,cross-tree,The Fund for the Feminist Majority,105166,3,The Fund For the Feminist Majority,43888,False,False
food and beverage association of san,cross-tree,Food and Beverage Association of San,44977,1,Food and Beverage Association of San,44990,False,False
city of fort brag,cross-tree,City of Fort Brag,100917,1,City of Fort Brag,45319,False,False
fred diaz city manager city of tracy,cross-tree,"Fred Diaz, City Manager, City of Tracy",100917,1,"Fred Diaz, City Manager, City of Tracy",45747,False,False
glass molders pottery plastics allied workers international union local 213,cross-tree,"Glass, Molders, Pottery, Plastics & Allied Workers: International Union, Local 213",48034,1,"Glass, Molders, Pottery, Plastics & Allied Workers: International Union, Local 213",48037,False,False
goodwill industries of the greater east bay,cross-tree-fold,Goodwill Industries of the Greater East Bay,48827,2,Goodwill Industries of the Greater East Bay,48836,True,False
sandag cosponsor of,cross-tree,"SANDAG, co-sponsor of",90624,1,"SANDAG, co-sponsor of",48939,False,False
governors office of criminal none justice planning,cross-tree,Governor's Office of Criminal None Justice Planning,48949,1,Governor's Office of Criminal None Justice Planning,76564,False,False
grassland water district,cross-tree-fold,GRASSLAND WATER DISTRICT,49173,1,Grassland Water District,49171,True,False
assessorrecordercounty clerk county of san diego ernest j dronenburg jr,cross-tree,"Assessor/Recorder/County Clerk, County of San Diego, Ernest J. Dronenburg, Jr",100917,1,"Assessor/Recorder/County Clerk, County of San Diego, Ernest J. Dronenburg, Jr",49751,False,False
hanford chamber of commerce,cross-tree-fold,Hanford Chamber of Commerce,109883,1,Hanford Chamber of Commerce,50492,True,False
happy valley telephone co,cross-tree,Happy Valley Telephone Co,50585,2,Happy Valley Telephone Co,50586,False,False
health care agency county of orange,cross-tree,"Health Care Agency, County of Orange",100917,1,"Health Care Agency, County of Orange",51179,False,False
healthy communities access program fresno,cross-tree-fold,Healthy Communities Access Program - Fresno,51415,1,Healthy Communities Access Program - Fresno,51416,True,False
city of hermosa beach,cross-tree,CITY OF HERMOSA BEACH,100917,7,City of Hermosa Beach,51941,False,False
california hispanic chambers of commerce,cross-tree,CALIFORNIA HISPANIC CHAMBERS OF COMMERCE,109883,1,California Hispanic Chambers of Commerce,52433,False,False
historical heritage commission county of santa clara,cross-tree,"Historical Heritage Commission, County of Santa Clara",100917,1,"Historical Heritage Commission, County of Santa Clara",52487,False,False
hiv womens page u voices,cross-tree,HIV: Women's Page u Voices,52533,1,HIV: Women's Page u Voices,52534,False,False
hiv womens voices,cross-tree-fold,HIV: Women's Voices,52533,1,HIV: Women's Voices,52534,True,False
honorable h gregory scharff mayor city of palo alto,cross-tree,"Honorable H. Gregory Scharff, Mayor, City of Palo Alto",100917,1,"Honorable H. Gregory Scharff, Mayor, City of Palo Alto",53139,False,False
housing authority of the county of monterey,cross-tree-fold,HOUSING AUTHORITY OF THE COUNTY OF MONTEREY,100917,1,Housing Authority of the County of Monterey,53544,True,False
the impact fund,cross-tree-fold,THE IMPACT FUND,54634,1,The Impact Fund,105364,True,False
independent automobile dealers association of california,cross-tree-fold,Independent Automobile Dealers Association of California,54867,1,INDEPENDENT AUTOMOBILE DEALERS ASSOCIATION OF CALIFORNIA,54869,True,False
chief of police city of indio,cross-tree,"Chief of Police, City of Indio",82397,1,"Chief of Police, City of Indio",55082,False,False
international association for financial planning iafp,cross-tree-fold,INTERNATIONAL ASSOCIATION FOR FINANCIAL PLANNING (IAFP),56166,1,International Association for Financial Planning (IAFP),56167,True,False
charles brobeck chief of police city of irvine,cross-tree,"Charles Brobeck, Chief of Police, City of Irvine",82397,1,"Charles Brobeck, Chief of Police, City of Irvine",56823,False,False
assessor county of los angeles jeffrey prang,cross-tree,"Assessor, County of Los Angeles, Jeffrey Prang",100917,1,"Assessor, County of Los Angeles, Jeffrey Prang",57678,False,False
ventura county board of supervisors,cross-tree,VENTURA COUNTY BOARD OF SUPERVISORS,100917,9,Ventura County Board of Supervisors,58183,False,False
strateic committee of public employees laborers international union of north america,cross-tree,"Strateic Committee of Public Employees, Laborers' International Union of North America",60978,1,"Strateic Committee of Public Employees, Laborers' International Union of North America",101539,False,False
lawyers committee for civil rights of the san francisco bay area,cross-tree-fold,LAWYERS' COMMITTEE FOR CIVIL RIGHTS OF THE SAN FRANCISCO BAY AREA,62252,1,Lawyers' Committee for Civil Rights of the San Francisco Bay Area,62251,True,False
libertarian party of california,cross-tree-fold,Libertarian Party of California,63086,2,Libertarian Party of California,63087,True,False
little tokyo service center,cross-tree,LITTLE TOKYO SERVICE CENTER,63702,7,Little Tokyo Service Center,63703,False,False
los angeles commission on assaults against women,cross-tree,LOS ANGELES COMMISSION ON ASSAULTS AGAINST WOMEN,64665,8,Los Angeles Commission on Assaults Against Women,64488,False,False
los angeles black worker center,cross-tree,Los Angeles Black Worker Center,64559,2,LOS ANGELES BLACK WORKER CENTER,64560,False,False
los angeles housing law project,cross-tree-fold,Los Angeles Housing Law Project,64955,1,Los Angeles Housing Law Project,64954,True,False
los angeles county sanitation districts,cross-tree,Los Angeles County Sanitation Districts,92840,1,Los Angeles County Sanitation Districts,65130,False,False
los angeles superior court,cross-tree,Los Angeles Superior Court,65153,5,Los Angeles Superior Court,102503,False,False
los angeles times,cross-tree-fold,Los Angeles Times,65162,1,Los Angeles Times,65161,True,False
san francisco manalive,cross-tree,San Francisco ManAlive,66314,1,San Francisco ManAlive,66313,False,False
assessorcounty clerkrecorder elections county of san mateo,cross-tree,"Assessor-County Clerk-Recorder & Elections, County of San Mateo",100917,1,"Assessor-County Clerk-Recorder & Elections, County of San Mateo",66965,False,False
marriott vacation club international,cross-tree-fold,Marriott Vacation Club International,67044,1,Marriott Vacation Club International,67046,True,False
mayor city of burbank,cross-tree-fold,"Mayor, City of Burbank",100917,1,"Mayor, City of Burbank",67522,True,False
ashley swearengin mayor city of fresno,cross-tree,"Ashley Swearengin, Mayor, City of Fresno",100917,1,"Ashley Swearengin, Mayor, City of Fresno",67523,False,False
richard riordan mayor city of los angeles,cross-tree,"Richard Riordan, Mayor, City of Los Angeles",100917,1,"Richard Riordan - Mayor, City of Los Angeles",67525,False,False
eric garcetti city of los angeles mayor,cross-tree,"Eric Garcetti, City of Los Angeles, Mayor",100917,1,"Eric Garcetti, City of Los Angeles, Mayor",67525,False,False
hon antonio villaraigosa mayor city of los angeles,cross-tree,"Hon. Antonio Villaraigosa, Mayor, City of Los Angeles",100917,1,"Hon. Antonio Villaraigosa, Mayor, City of Los Angeles",67525,False,False
honorable jean quan mayor city of oakland,cross-tree,"Honorable Jean Quan, Mayor, City of Oakland",100917,1,"Honorable Jean Quan, Mayor, City of Oakland",67526,False,False
honorable sam liccardo mayor city of san jose,cross-tree,"Honorable Sam Liccardo, Mayor, City of San Jose",100917,1,"Honorable Sam Liccardo, Mayor, City of San Jose",67531,False,False
mental health america of los angeles,cross-tree-fold,MENTAL HEALTH AMERICA OF LOS ANGELES,68369,1,Mental Health America of Los Angeles,68336,True,False
mercury insurance,cross-tree,Mercury Insurance,68490,1,Mercury Insurance,68491,False,False
the money services roundtable tmsrt,cross-tree-fold,The Money Services Roundtable (TMSRT),70046,1,The Money Services Roundtable (TMSRT),105629,True,False
mount diablo unified school district,cross-tree,Mount Diablo Unified School District,70755,3,Mount Diablo Unified School District,70756,False,False
national association of counsel for children,cross-tree-fold,NATIONAL ASSOCIATION OF COUNSEL FOR CHILDREN,72027,1,National Association of Counsel for Children,72026,True,False
san jose south bay national organization for women,cross-tree,San Jose - South Bay National Organization for Women,72867,1,San Jose - South Bay National Organization for Women,92219,False,False
california restaurant association,cross-tree,CALIFORNIA RESTAURANT ASSOCIATION,72973,8,California Restaurant Association,104693,False,False
special needs network,cross-tree,SPECIAL NEEDS NETWORK,99604,3,Special Needs Network,73435,False,False
nissan,cross-tree,Nissan,74439,1,Nissan,74440,False,False
norco college,cross-tree,Norco College,74705,3,NORCO COLLEGE,74706,False,False
north orange county community college district,cross-tree,North Orange County Community College District,75126,3,North Orange County Community College District,75125,False,False
riverside county superintendent of schools,cross-tree-fold,Riverside County Superintendent of Schools,76679,1,Riverside County Superintendent of Schools,88005,True,False
office of the state ltc ombudsman,cross-tree,Office of the State LTC Ombudsman,76697,1,Office of the State LTC Ombudsman,76698,False,False
orange county superior court,cross-tree,Orange County Superior Court,77729,5,Orange County Superior Court,102514,False,False
the otter project,cross-tree-fold,THE OTTER PROJECT,78206,1,The Otter Project,105765,True,False
para los niños,cross-tree,Para Los Niños,79649,3,Para los Niños,79650,False,False
pasadena city college,cross-tree,Pasadena City College,80116,5,Pasadena City College,80117,False,False
peace and freedom party of california,cross-tree-fold,PEACE AND FREEDOM PARTY OF CALIFORNIA,80502,1,Peace and Freedom Party of California,80515,True,False
peace officers research association of california,cross-tree-fold,PEACE OFFICER'S RESEARCH ASSOCIATION OF CALIFORNIA,80545,1,Peace Officers Research Association of California,80539,True,False
personnel management association of aztlan,cross-tree-fold,Personnel Management Association of Aztlan,81090,1,Personnel & Management Association of Aztlan,81079,True,False
city of scotts valley chief of police,cross-tree,City of Scotts Valley Chief of Police,82397,1,City of Scotts Valley Chief of Police,94339,False,False
ab nathaniel holmes iii chief of police city of san jacinto,cross-tree,"AB Nathaniel Holmes III, Chief of Police, City of San Jacinto",82397,1,"AB Nathaniel Holmes III, Chief of Police, City of San Jacinto",92023,False,False
rio hondo college,cross-tree,Rio Hondo College,87720,4,Rio Hondo College,89149,False,False
riverside sheriffs association,cross-tree,Riverside Sheriffs' Association,95884,1,Riverside Sheriffs' Association,88073,False,False
saint marys college of california,cross-tree-fold,Saint Mary's College of California,100243,2,Saint Mary's College of California,90122,True,False
board of supervisors county of san diego,cross-tree,"Board of Supervisors, County of San Diego",100917,1,"Board of Supervisors, County of San Diego",90641,False,False
san diego city schools,cross-tree,San Diego City Schools,91182,1,San Diego City Schools,91135,False,False
san francisco citizens initiative for technology and innovation,cross-tree,San Francisco Citizens Initiative for Technology and Innovation,91476,2,San Francisco Citizens Initiative for Technology and Innovation,91475,False,False
san francisco department on the status of women,cross-tree,San Francisco Department on the Status of Women,91544,4,San Francisco Department on the Status of Women,91543,False,False
san francisco tenants union,cross-tree-fold,SAN FRANCISCO TENANTS UNION,91851,1,San Francisco Tenants Union,91850,True,False
board of supervisors county of san mateo,cross-tree,"Board of Supervisors, County of San Mateo",100917,1,"Board of Supervisors, County of San Mateo",92551,False,False
santa ana college,cross-tree,Santa Ana College,92858,3,Santa Ana College,92859,False,False
santa clara county office of education,cross-tree,Santa Clara County Office of Education,93152,12,Santa Clara County Office of Education,93094,False,False
santa clara county superior court,cross-tree-fold,Santa Clara County Superior Court,102511,1,Santa Clara County Superior Court,93169,True,False
united longterm care workers union seiuultcw,cross-tree,United Long-Term Care Workers Union (SEIU-ULTCW),95230,1,United Long-Term Care Workers Union (SEIU-ULTCW),109751,False,False
los angeles sheriff,cross-tree,Los Angeles Sheriff,100917,1,Los Angeles Sheriff,95884,False,False
los angeles county sheriffs department,cross-tree,Los Angeles County Sheriff's Department,100917,12,LOS ANGELES COUNTY SHERIFF'S DEPARTMENT,95884,False,False
special education local plan area administrators,cross-tree,Special Education Local Plan Area Administrators,99590,1,Special Education Local Plan Area Administrators,99588,False,False
board of supervisors county of shasta,cross-tree,"Board of Supervisors, County of Shasta",100917,1,"Board of Supervisors, County of Shasta",106087,False,False
sonoma county board of supervisors,cross-tree,Sonoma County Board of Supervisors,100917,3,SONOMA COUNTY BOARD OF SUPERVISORS,106127,False,False
yolo county assessor,cross-tree-fold,Yolo County Assessor,100917,1,Yolo County Assessor,116355,True,False
attorney generals office note see,cross-tree,Attorney General's Office [Note: See],100919,1,Attorney General's Office [Note: See],105736,False,False
sunset whitney veterinary hospital,cross-tree-fold,Sunset Whitney Veterinary Hospital,102358,1,Sunset Whitney Veterinary Hospital,102355,True,False
california tash california chapter the association for persons with severe disabilities,cross-tree,California TASH - California Chapter: The Association for Persons with Severe Disabilities,103542,1,California TASH - California Chapter: The Association for Persons with Severe Disabilities,104491,False,False
the unity council,cross-tree-fold,THE UNITY COUNCIL,110081,1,The Unity Council,106278,True,False
university of california san francisco,cross-tree,"University of California, San Francisco",109094,1,University of California San Francisco,110205,False,False
ucsf benioff childrens hospital oakland,cross-tree,UCSF Benioff Children's Hospital Oakland,109099,13,UCSF Benioff Children's Hospital Oakland,109098,False,False
united africanasian abilities club,cross-tree,United African-Asian Abilities Club,109536,2,United African-Asian Abilities Club,109535,False,False
united anglers of california,cross-tree,United Anglers of California,109558,3,United Anglers of California,109556,False,False
united chambers of commerce of the san fernando valley,cross-tree,UNITED CHAMBERS OF COMMERCE OF THE SAN FERNANDO VALLEY,109883,4,United Chambers of Commerce of the San Fernando Valley,109598,False,False
university of california irvine department of psychiatry,cross-tree-fold,"University of California Irvine, Department of Psychiatry",110187,1,University of California Irvine Department of Psychiatry,110239,True,False
university of california los angeles,cross-tree,University of California Los Angeles,110187,2,University of California Los Angeles,110199,False,False
w c cox company,cross-tree-fold,W. C. Cox & Company,113095,1,W. C. Cox & Company,113084,True,False
whittier college,cross-tree,Whittier College,114861,2,Whittier College,114862,False,False
american legion chinatown post 628,remove-descendant,American Legion Chinatown Post 628,5162,5,"American Legion, Chinatown Post 628",5162,False,False
california federation of teachers,within-tree,California Federation of Teachers,4926,1,California Federation of Teachers,4926,False,False
the association of california health care districts achd,within-tree,The Association of California Health Care Districts (ACHD),8673,1,The Association of California Health Care Districts (ACHD),8673,False,False
cashpcr with concerns,within-tree,CASHPCR (with concerns),17249,1,CASHPCR (with concerns),17249,False,False
california probation and correctional association abx1 22,within-tree,California Probation and Correctional Association ABX1 22,20341,1,California Probation and Correctional Association ABX1 22,20341,False,False
california state sherriffs association,within-tree,California State Sherriffs Association,95806,1,California State Sherriff's Association,95806,False,False
ca state sheriffs assoc,within-tree,CA State Sheriffs' Assoc,95806,1,CA State Sheriffs Assoc,95806,False,False
california state sheriffs association cssa,within-tree,California State Sheriffs' Association (CSSA),95806,1,CALIFORNIA STATE SHERIFF'S ASSOCIATION (CSSA),95806,False,False
mayor todd campbell city of burbank,within-tree,"Mayor Todd Campbell, City of Burbank",100835,1,"Mayor, Todd Campbell, City of Burbank",100835,False,False
united food commercial workers western states council,within-tree,"United Food & Commercial Workers, Western States Council",109569,1,"United Food & Commercial Workers, Western States Council",109569,False,False
california state automobile association,cross-tree,California State Automobile Association,4551,3,California State Automobile Association,20989,False,False
acog district ix,cross-tree,ACOG District IX,4758,1,ACOG - District IX,4755,False,False
state bar of california family law section,cross-tree,"State Bar of California, Family Law Section",10427,1,State Bar of California Family Law Section,19573,False,False
california business properties association,cross-tree,California Business Properties Association,15254,5,California Business Properties Association,17520,False,False
ab california attorneys for criminal justice,cross-tree,AB California Attorneys for Criminal Justice,17312,1,AB California Attorneys for Criminal Justice,15541,False,False
california advocates for nursing home reform canhr,cross-tree,California Advocates for Nursing Home Reform (CANHR),16509,1,California Advocates for Nursing Home Reform (CANHR),16507,False,False
california state association of electrical workers,cross-tree,California State Association of Electrical Workers,56175,19,California State Association of Electrical Workers,16977,False,False
california frommer association cdaa,cross-tree,California (Frommer) Association (CDAA),18561,1,California (Frommer) Association (CDAA),37651,False,False
ca police chiefs association approve,cross-tree,"CA Police Chiefs' Association - ""Approve",82310,1,"CA Police Chiefs' Association - ""Approve",20264,False,False
california state employees association,cross-tree-fold,California State Employees Association,21047,1,California State Employees Association,21042,True,False
california state shriffs association,cross-tree,California State Shriff's Association,95806,1,California State Shriff's Association,21145,False,False
california state teachers retirement system,cross-tree,California State Teacher's Retirement System,100907,1,California State Teachers' Retirement System,21297,False,False
fly fishers international,cross-tree-fold,Fly Fishers International,43724,1,Fly Fishers International,44822,True,False
los angeles county district,cross-tree-fold,Los Angeles County District,100835,1,Los Angeles County District,64690,True,False
los angeles sheriffs department,cross-tree,Los Angeles Sheriff's Department,100835,1,Los Angeles Sheriffs Department,95803,False,False
riverside sheriffs association,cross-tree,Riverside Sheriffs' Association,95803,1,RIVERSIDE SHERIFF'S ASSOCIATION,95806,False,False
