org_name,count,status,routed_to
City of West Hollywood,1096,in_crosswalk,
California Psychological Association,1095,in_crosswalk,
California Public Interest Research Group,1095,in_crosswalk,
Committee on Moral Concerns,1092,in_crosswalk,
City of Santa Monica,1086,in_crosswalk,
National Association of Social Workers,1086,in_crosswalk,
"California Probation, Parole and Correctional Association",1085,in_crosswalk,
Alameda County Board of Supervisors,1079,in_crosswalk,
Judicial Council,1073,in_crosswalk,
None registered,1068,already_routed,org_names_invalid.csv
California Applicants' Attorneys Association,1066,in_crosswalk,
Older Women's League of California,1050,in_crosswalk,
Public Advocates,1048,in_crosswalk,
San Francisco Unified School District,1044,in_crosswalk,
City of Long Beach,1039,in_crosswalk,
City of Sacramento,1039,in_crosswalk,
Health Officers Association of California,1038,in_crosswalk,
Equal Rights Advocates,1035,in_crosswalk,
Privacy Rights Clearinghouse,1034,in_crosswalk,
California Association of Joint Powers Authorities,1026,in_crosswalk,
California Association of School Business Officials,1023,in_crosswalk,
California Forestry Association,1023,in_crosswalk,
Community College League of California,1020,in_crosswalk,
California Association of Winegrape Growers,1016,in_crosswalk,
Mexican American Legal Defense and Educational Fund,1008,in_crosswalk,
Western Electrical Contractors Association,1005,in_crosswalk,
California Optometric Association,1003,in_crosswalk,
Oakland Privacy,996,in_crosswalk,
Gray Panthers,990,in_crosswalk,
California Newspaper Publishers Association,987,in_crosswalk,
"American Academy of Pediatrics, California",980,in_crosswalk,
Youth Law Center,979,in_crosswalk,
California Partnership to End Domestic Violence,977,in_crosswalk,
State Building and Construction Trades Council of California,975,in_crosswalk,
American Insurance Association,974,in_crosswalk,
California Common Cause,968,in_crosswalk,
Associated General Contractors,964,in_crosswalk,
American Academy of Pediatrics,961,in_crosswalk,
California Association of Clerks and Election Officials,961,in_crosswalk,
Health Net,960,in_crosswalk,
Latino Coalition for a Healthy California,955,in_crosswalk,
Heal the Bay,953,in_crosswalk,
National Health Law Program,953,in_crosswalk,
City of Lakewood,951,in_crosswalk,
Numerous individuals,950,already_routed,org_names_that_are_actually_individuals.csv
Taxpayers for Improving Public Safety,943,in_crosswalk,
Santa Ana Police Officers Association,937,in_crosswalk,
TechNet,936,in_crosswalk,
California Association of County Veterans Service Officers,935,in_crosswalk,
Audubon California,930,in_crosswalk,
Courage Campaign,929,in_crosswalk,
California Environmental Voters,926,in_crosswalk,
California Pharmacists Association,923,in_crosswalk,
County of San Bernardino,922,in_crosswalk,
Faculty Association of California Community Colleges,915,in_crosswalk,
Engineers and Scientists of California,913,in_crosswalk,
California Coastkeeper Alliance,910,in_crosswalk,
California School Nurses Organization,907,in_crosswalk,
Fire Districts Association of California,904,in_crosswalk,
Little Hoover Commission,899,in_crosswalk,
Californians for Safety and Justice,898,in_crosswalk,
American Cancer Society,897,in_crosswalk,
California Transit Association,893,in_crosswalk,
Peace Officers Research Association of California (PORAC),886,in_crosswalk,
Medical Board of California,884,in_crosswalk,
AIDS Healthcare Foundation,882,in_crosswalk,
California Native Plant Society,880,in_crosswalk,
California Council for Environmental and Economic Balance,874,in_crosswalk,
