Oakland African American Chamber Political Action Committee	Oakland African American Chamber of Commerce	Oakland AA Chamber
The Climate Reality Project, San Fernando Valley	CLIMATE REALITY PROJECT - SAN FERNANDO VALLEY CHAPTER	climate reality sfv
The County Welfare Directors Association of California	County Welfare Directors Association of California (CWDA)	cwda
Union (SEIU)	Service Employees International Union (SEIU)	seiu
Veterans of Foreign Wars-Department of California	Veterans of Foreign Wars - Department of California (VFW)	vfw dept california
Alameda County District Attorney Nancy E. O'Malley	Alameda County District Attorney	alameda county da
American Association of University Women San Jose	Aauw San Jose Branch	aauw san jose
American Institute of Architects, California Council (AIACC)	The American Institute of Architects, California Council	aiacc
Associated Builders and Contractors, Inc. - Northern California Chapter	Associated Builders and Contractors Northern California Chapter	abc northern california
Contra Costa County Sheriff's Office	Contra Costa County Sheriff's Office	contra costa county sheriffs office
Desert Aids Project D/b/a Dap Health	Desert Aids Project - DAP Health	desert aids project dap health
El Dorado County Sheriff's Office	El Dorado County Sheriff's Office	el dorado county sheriffs office
First 5 Association of CA	First 5 Association of California	first 5 association of california
Monterey County District Attorney's Office - ODA - Salinas, CA	Monterey County District Attorney	monterey county da
Monterey County Sheriff's Office	Monterey County Sheriff-Coroner	monterey county sheriff
Office of the District Attorney of San Diego County	DISTRICT ATTORNEY OF SAN DIEGO	san diego da
Orange County Sheriff's Office	Orange County Sheriff's Department	orange county sheriff
Pasadena Fire Fighters Local 809	Pasadena Fire Fighters	pasadena fire fighters
Sacramento Area Firefighters Local 522	Sacramento Area Firefighters	sacramento area firefighters
San Diego Chief of Police	City of San Diego Chief of Police	san diego chief of police
San Diego City Fire Fighters	San Diego City Fire Fighters, Local 145	san diego city fire fighters
San Diego County Sheriff's Office	San Diego County Sheriff's Department	san diego county sheriff
San Francisco Fire Fighters	San Francisco Fire Fighters Local 798	san francisco fire fighters
San Jose - Evergreen Community College District	SAN JOSE EVERGREEN COMMUNITY COLLEGE DISTRICT	san jose evergreen ccd
Santa Barbara County Sheriff's Office	Santa Barbara County Sheriff's Department	santa barbara county sheriff
The California Academy of Family Physicians	California Academy of Family Physicians (CAFP)	cafp
Union of American Physicians and Dentists/AFSCME-Local 206	Union of American Physicians and Dentists	uapd
ACLU of Northern California	American Civil Liberties Union	aclu
ACLU of Southern California	American Civil Liberties Union	aclu
American Academy of Pediatrics-California	American Academy of Pediatrics, CA District (AAP-CA)	aap_ca
American Nurses' Association\California	American Nurses Association - California	ana_ca
Associated Builders and Contractors - Northern California Chapter	Associated Builders and Contractors Northern California Chapter	abc_norcal
CA Psychiatric Association	The California Psychiatric Association (CPA)	california psychiatric association
California Psychiatric Association (CPA)	The California Psychiatric Association (CPA)	california psychiatric association
California Public Interest Research Group (CALPIRG) Students	California Public Interest Research Group	california public interest research group
Council on American-Islamic Relations - California	Council on American-Islamic Relations	council on american islamic relations
District Attorney of San Francisco	San Francisco District Attorney	san francisco district attorney
Butte County Sheriff- Coroner	Butte County Sheriff-Coroner	Butte County Sheriff
by California Coalition Against Sexual Assault	CALIFORNIA COALITION AGAINST SEXUAL ASSAULT	CALCASA
CA Abortion and Reproductive Action League (CARAL)	California Abortion and Reproductive Rights Action League	CARAL
CA Abortion and Reproductive Rights	California Abortion and Reproductive Rights Action League	CARAL
CA Abortion and Reproductive Rights (CARAL)	California Abortion and Reproductive Rights Action League	CARAL
CA Alliance of Nurses for Healthy Environments	CALIFORNIA ALLIANCE OF NURSES FOR HEALTHY ENVIRONMENTS	Nurses Healthy Env
CA Assoc. of County Veterans Service Officers	Association of County Veterans Service Officers	County Veterans Service
CA Assoc. of Neurological Surgeons	American Association of Neurological Surgeons	Neurological Surgeons
CA Assoc. of Neurological Surgeons Inc	American Association of Neurological Surgeons	Neurological Surgeons
CA Bankers Assoc., Southern CA	American Bankers Association	CA Bankers Assn
CA Bankers Association (co-sponsor)	American Bankers Association	CA Bankers Assn
CA Bankers Association (sponsor)None on file	American Bankers Association	CA Bankers Assn
CA Bankers Association None on file	American Bankers Association	CA Bankers Assn
CA Bankers AssociationNone on file	American Bankers Association	CA Bankers Assn
CA Business Properties Asociation	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CA Business Properties Assn
CA Chapter of the American Fence Association	American Fence Association, California Chapter	American Fence Assn CA Chapter
CA DENTAL ASSOC	The California Dental Association (CDA)	CA Dental Assn
CA Dental Assoc	The California Dental Association (CDA)	CA Dental Assn
CA Dental Association	The California Dental Association (CDA)	CA Dental Assn
CA District of the American Academy of Pediatrics	American Academy of Pediatrics, California Chapter	AAP California
CA Federation of Teachers (CFT) Retirement Committee	California Federation of Teachers	CA Federation of Teachers
CA Federation of Teachers, AFL CIO	California Federation of Teachers	CA Federation of Teachers
CA Federation of Teachers, AFT, AFL-CIO	California Federation of Teachers	CA Federation of Teachers
CA Fence Contractors Assoc	California Fence Contractors Association	Fence Contractors
CA Fence Contractors' Assoc	California Fence Contractors Association	Fence Contractors
CA Land Title Assn	California Land Title Association	Land Title
CA Organization of Police & Sheriffs	California Organization for Police and Sheriffs	Org Police Sheriffs
CA Psychiatric Assoc	The California Psychiatric Association (CPA)	Psychiatric Assn
CA Public Interest Research Group (CalPIRG)	California Public Interest Research Group	CalPIRG
CA Rifle and Pistol Assoc., Inc	Calif. Rifle and Pistol Association	Rifle and Pistol
CA Society of Plastic Surgeons	California Society of Plastic Surgeons, Inc	Plastic Surgeons
CA Society of Plastic Surgeons, Inc	California Society of Plastic Surgeons, Inc	Plastic Surgeons
CA State Bar, Trusts and Estates Section	STATE BAR OF CALIFORNIA	State Bar
CA State Conference for NAACP	California State Conference of the National Association for the Advancement of Colored People	NAACP CA
CA State Conference of the National Assoc. for the Advancement of Colored	California State Conference of the National Association for the Advancement of Colored People	NAACP CA
CA State Conference of the National Association for the Advancement of Colored People	California State Conference of the National Association for the Advancement of Colored People	NAACP CA
Ca State Conference of the National Association for the Advancement of Colored People	California State Conference of the National Association for the Advancement of Colored People	NAACP CA
CA State Conference of the National Association for the Advancement of Colored People (NAACP)	California State Conference of the National Association for the Advancement of Colored People	NAACP CA
CA State Legislative Board, Sheet Metal, Air, Rail and Transportation Workers - (SMART-TD)	California State Legislative Board, Sheet Metal, Air, Rail and Transportation Workers	SMART-TD
CA State Sheriffs' Association Association	California State Sheriffs Association, SB	State Sheriffs
CA WIC Association (CWA)	California WIC (Women, Infants and Children) Association	CA WIC
Ca. Shore and Beach Preservation Assoc. (Sponsors)	American Shore and Beach Preservation Association	Shore and Beach
CACJ (NOTE: ANALYSIS REFLECTS SB 1602 (BATTIN) AS PROPOSED TO BE AMENDED.)	CALIFORNIA ATTORNEY'S FOR CRIMINAL JUSTICE	CACJ
CAHU	National Association of Health Underwriters	CAHU
Cal Fire, Local 2881	CAL FIRE	cal fire local 2881
Cal FIRE, Local 2881	CAL FIRE	cal fire local 2881
Cal OES	California Office of Emergency Services	cal oes
CAL PIRG	California Public Interest Research Group	calpirg
CalChamber writes	UNITED STATES CHAMBER OF COMMERCE	CalChamber
CalExpo	California Exposition & State Fair	CalExpo
Calfiornia Dental Association	The California Dental Association (CDA)	CDA
CalFIRE Firefighters, Local 2881	Local 2881	CalFIRE 2881
Calfornia Bankers Association	American Bankers Association	CA Bankers
Calfornia Psychiatric Association	The California Psychiatric Association (CPA)	CPA
Calif, Psychiatric Ass'n	The California Psychiatric Association (CPA)	CPA
Calif. Applicants' Attorneys Ass'n	CALIFORNIA APPLICANTS ATTORNEYS' ASSOCIATION	CAAA
Calif. Assisted Living Ass'n	Assisted Living	CALA
Calif. Business Properties Assoc	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CBPA
Calif. Public Employees' Retirement System (CalPERS) - unless	CalPERS	CalPERS
Calif. Public Interest Research Group	California Public Interest Research Group	CALPIRG
Calif. Public Interest Research Group (CALPIRG)	California Public Interest Research Group	CALPIRG
Calif. State Auto Association	CALIFORNIA STATE AUTOMOBILE ASSOCIATION	CSAA
California (Frommer) Association (CDAA)	District Attorneys Association (CDAA)	district attorneys
California - American Association of Retired Persons	AARP (American Association of Retired Persons)	AARP
California AB 2116 (Alby) Attorneys for Criminal Justice	CALIFORNIA ATTORNEY'S FOR CRIMINAL JUSTICE	criminal justice attys
California AB 2142 (Keeley) Manufacturers and Technology Association	CALIFORNIA MANUFACTURERS & TECHNOLOGY ASSOCIATION	manufacturers
California AB 2263 (Spitzer) Police Chiefs' Association	California Police Chiefs Association	police chiefs
California AB 2389 (Morrow) Medical Association	California Medical Association	medical assn
California AB 76 (Corbett) State Association of Electrical Workers	California & Nevada State Association of Electrical Workers	electrical workers
California Abortion & Reproduction Rights Action League	California Abortion and Reproductive Rights Action League	CARAL
California Abortion and Reproduction Rights Action League	California Abortion and Reproductive Rights Action League	CARAL
California Abortion and Reproduction Rights Active League	California Abortion and Reproductive Rights Action League	CARAL
California Abortion and Reproductive Rights Action League, North & South	California Abortion and Reproductive Rights Action League	CARAL
California Abortion Rights & Reproductive Action League	California Abortion and Reproductive Rights Action League	CARAL
California Abortion Rights and Reproductive Rights Action League	California Abortion and Reproductive Rights Action League	CARAL
California Academy of Child & Adolescent Psychiatry states	CALIFORNIA ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	child psychiatry
California Academy of Family Physicians writes	CALIFORNIA ACADEMY OF FAMILY PHYSICIANS	family physicians
California Academy of Physicians Assistants (CAPA)	Academy of Physician Assistants	CAPA
California ACEP | American College of Emergency Physicians	California ACEP	ACEP
California Action Coalition for Arts SB 639 (McPherson) continued	California Action Coalition for Arts	Action Coalition Arts
California Agricultural Commissioners and Dealers Association	CALIFORNIA AGRICULTURAL COMMISSIONERS AND SEALERS ASSOCIATION	CACASA
California Agricultural Commissioners and Sealers Ass'n	CALIFORNIA AGRICULTURAL COMMISSIONERS AND SEALERS ASSOCIATION	CACASA
California Agricultural Commissioners and Sealers Association (Reflects support for the 6/27/05 version of AB 1059)	CALIFORNIA AGRICULTURAL COMMISSIONERS AND SEALERS ASSOCIATION	CACASA
California Alliance for Child and Family Services (the Alliance), in support	CALIFORNIA ALLIANCE OF CHILD AND FAMILY SERVICES	CACFS
California Alliance for Child and Family Services - sponsor	CALIFORNIA ALLIANCE OF CHILD AND FAMILY SERVICES	CACFS
California Alliance of Child and Family Services (Alliance)	CALIFORNIA ALLIANCE OF CHILD AND FAMILY SERVICES	CACFS
California Alliance of Child and Family Services co-sponsor	CALIFORNIA ALLIANCE OF CHILD AND FAMILY SERVICES	CACFS
California Alliance of Child and Family Services, a co-sponsor of the measure	CALIFORNIA ALLIANCE OF CHILD AND FAMILY SERVICES	CACFS
California Alliance of Nurses for Healthy Environment	CALIFORNIA ALLIANCE OF NURSES FOR HEALTHY ENVIRONMENTS	CANHE
California Alternative Payment Program Association (CAPPA) - co-sponsor	CALIFORNIA ALTERNATIVE PAYMENT PROGRAM ASSOCIATION	CAPPA
California Alternative Payment Program Association (CAPPA) SPONSOR	CALIFORNIA ALTERNATIVE PAYMENT PROGRAM ASSOCIATION	CAPPA
California American Association of Retired Persons	AMERICAN ASSOCIATION OF RETIRED PERSONS	AARP
California American College of Emergency Physicians (previous version)	American College of Emergency Physicians	ACEP
California Apartment Association (CAA) writes	CALIFORNIA APARTMENT ASSOCIATION	Apartment Assoc
California Apartment Association (late)	CALIFORNIA APARTMENT ASSOCIATION	Apartment Assoc
California Apartment Association, Napa/Solano County Division	CALIFORNIA APARTMENT ASSOCIATION	Apartment Assoc
California Apartment Associations	CALIFORNIA APARTMENT ASSOCIATION	Apartment Assoc
California Ass'n of Neurological Surgeons	American Association of Neurological Surgeons	Neuro Surgeons
California Assisted Living Association (as proposed to be amended)	CALIFORNIA ASSISTED LIVING ASSOCIATION	CALA
California Assisted Living Association (CALA) - Co-Sponsor	CALIFORNIA ASSISTED LIVING ASSOCIATION	CALA
California Assisted Living Association (CALA) - sponsor	CALIFORNIA ASSISTED LIVING ASSOCIATION	CALA
California Assisted Living Association (CALA) - Support	CALIFORNIA ASSISTED LIVING ASSOCIATION	CALA
California Assisted Living Association (CALA) sponsor	CALIFORNIA ASSISTED LIVING ASSOCIATION	CALA
California Assisted Living Association also	CALIFORNIA ASSISTED LIVING ASSOCIATION	CALA
California Assn of County Veterans Service Officers	Association of County Veterans Service Officers	CVSO
California Assn. of County Veterans Service Officers	Association of County Veterans Service Officers	CVSO
California Assn. of Environmental Health Officers (committee analysis)	California Association of Environmental Health Officers	Env Health Officers
California Assn. of Homes and Services for	CALIFORNIA ASSOCIATION OF HOMES AND SERVICES FOR THE AGING	Homes & Services Aging
California Assn. of Homes and Services for the Aging	CALIFORNIA ASSOCIATION OF HOMES AND SERVICES FOR THE AGING	Homes & Services Aging
California Assoc. of Catholic Hospitals	CALIFORNIA ASSOCIATION OF CATHOLIC HOSPITALS	Catholic Hospitals
California Associate of County Veterans Services Officers	Association of County Veterans Service Officers	CVSO
California Association - Independent Telephone Company Group	California Independent Telephone Company (CITC)	Indep Telephone
California Association for County Veterans Service Officers	Association of County Veterans Service Officers	CVSO
California Association for Licensed Professional Clinical Counselors to address barriers to licensure and practice	CALIFORNIA ASSOCIATION FOR LICENSED PROFESSIONAL CLINICAL COUNSELORS	CALPCC
California Association of AB 944 (Ridley-Thomas) Firearms Retailers	CALIFORNIA ASSOCIATION OF FIREARMS RETAILERS	Firearms Retailers
California Association of County Veterans Service Officers Contra Costa County	CALIFORNIA ASSOCIATION OF COUNTY VETERAN SERVICE OFFICERS	CACVSO
California Association of County Veterans Service Officers Service Office	CALIFORNIA ASSOCIATION OF COUNTY VETERAN SERVICE OFFICERS	CACVSO
California Association of County Veterans Service Officers, also in support	CALIFORNIA ASSOCIATION OF COUNTY VETERAN SERVICE OFFICERS	CACVSO
California Association of County Veterans Service Officers, Inc. (CACVSO)	CALIFORNIA ASSOCIATION OF COUNTY VETERAN SERVICE OFFICERS	CACVSO
California Association of County Veterans Service Officers, Inc.: 730 individual letters	CALIFORNIA ASSOCIATION OF COUNTY VETERAN SERVICE OFFICERS	CACVSO
California Association of Environmental Health Administrators, with an 'oppose' position to a prior version of the bill	CALIFORNIA ASSOCIATION OF ENVIRONMENTAL HEALTH ADMINISTRATORS	CAEHA
California Association of Environmental Health: Adminstrators	CALIFORNIA ASSOCIATION OF ENVIRONMENTAL HEALTH ADMINISTRATORS	CAEHA
California Association of Health Facilities (CAHF) writes	CALIFORNIA ASSOCIATION OF HEALTH FACILITIES	CAHF
California Association of Health Facilities (Unless STAFF ANALYSIS OF SB 732 (MELLO) amended)	CALIFORNIA ASSOCIATION OF HEALTH FACILITIES	CAHF
California Association of Health Facilities (with the deletion of the continuous appropriation)	CALIFORNIA ASSOCIATION OF HEALTH FACILITIES	CAHF
California Association of Health Facilities, oppose unless	CALIFORNIA ASSOCIATION OF HEALTH FACILITIES	CAHF
California Association of Health Plans (Following positions are from the August 25th, Assembly Health Committee analysis and are on previous version of bill.)	CALIFORNIA ASSOCIATION OF HEALTH PLANS	CAHP
California Association of Health Plans (Note: Amendments are forthcoming to take care of	CALIFORNIA ASSOCIATION OF HEALTH PLANS	CAHP
California Association of health Underwriters (CAHU)	National Association of Health Underwriters	CAHU
California Association of Health Underwriters (CAHU) - 06/05/03	National Association of Health Underwriters	CAHU
California Association of Health Underwriters (CAHU) are specifically	National Association of Health Underwriters	CAHU
California Association of Health Underwriters (CAHU) states	National Association of Health Underwriters	CAHU
California Association of Health Underwriters (July 6, 2007)	National Association of Health Underwriters	CAHU
California Association of Health Underwriters (oppose as introduced)	National Association of Health Underwriters	CAHU
California Association of Health Underwriters (oppose unless amended)	National Association of Health Underwriters	CAHU
California Association of Health Underwriters: Oppose	National Association of Health Underwriters	CAHU
California Association of Heath Underwriters	National Association of Health Underwriters	CAHU
California Association of Home Services for the Aging	CALIFORNIA ASSOCIATION OF HOMES AND SERVICES FOR THE AGING	HomesAging
California Association of Homes and Services for the Aging (committee analysis)	CALIFORNIA ASSOCIATION OF HOMES AND SERVICES FOR THE AGING	HomesAging
California Association of Hospitals and Health Systems (committee analysis)	CALIFORNIA ASSOCIATION OF HOSPITALS AND HEALTH SYSTEMS	HospitalsHealth
California Association of Licensed Repossessors in an effort to improve the operation of the Collection Agency Law	CALIFORNIA ASSOCIATION OF LICENSED REPOSSESSORS	Repossessors
California Association of Marriage and Family Therapists to allow MFT students to provide services	CALIFORNIA ASSOCIATION OF MARRIAGE AND FAMILY THERAPISTS	MFT
California Association of Marriage and Family Therapists to improve state oversight of professionals licensed by BBS	CALIFORNIA ASSOCIATION OF MARRIAGE AND FAMILY THERAPISTS	MFT
California Association of Naturopathic Physicians (CANP - sponsor)	American Association of Naturopathic Physicians	naturopathic physicians
California Association of Naturopathic Physicians (CANP - Sponsor)	American Association of Naturopathic Physicians	naturopathic physicians
California Association of Neurological Surgeons (CANS)	American Association of Neurological Surgeons	neurological surgeons
California Association of Neurological Surgeons, Inc	American Association of Neurological Surgeons	neurological surgeons
California Association of Nurse Anesthetists (prior version)	American Association of Nurse Anesthetists	nurse anesthetists
California Association of Nurse Anesthetists, Inc. (5/20/04)	American Association of Nurse Anesthetists	nurse anesthetists
California Association of Oral and Maxillofacial	California Association of Oral and Maxillofacial Surgeons (CALAOMS)	oral maxillofacial
California Association of Regulatory: Investigators and Inspectors (Note: This opposition concerns the now-deleted portion of the bill.)	California Association of Regulatory Investigators and Inspectors	Regulatory Investigators
California Association of Resource Specialists (5/15/98)	California Association of Resource Specialists and Special Education Teachers	Resource Specialists
California Association of RV Parks and Campgrounds, the sponsor of SB 317	CALIFORNIA ASSOCIATION OF RV PARKS AND CAMPGROUNDS	RV Parks
California Association of Sheet Metal Air Conditioning Contractors, National Association	CA Association of Sheet Metal and Air Conditioning Contractors	Sheet Metal
California Association of Sheet Metal and Air Conditioning Contractors: National Association	CA Association of Sheet Metal and Air Conditioning Contractors	Sheet Metal
California Association of Sheet Metal and Air Conditioning: Contractors, National Association	CA Association of Sheet Metal and Air Conditioning Contractors	Sheet Metal
California Attorneys for Criminal Justice (Note: 5/30/96 amendments appear to have	CA Attorneys for Criminal Justice (CACJ)	CACJ
California Attorneys for Criminal Justice (NOTE: SEE COMMENT 13 FOR A DISCUSSION OF AMENDMENTS THAT THE AUTHOR, AT THE HEARING OF APRIL 19, 2005, INDICATED HE WOULD TAKE.)	CA Attorneys for Criminal Justice (CACJ)	CACJ
California Attorneys for Criminal Justice (NOTE: THIS ANALYSIS REFLECTS AMENDMENTS THE AUTHOR INTENDS TO SUBMIT TO THE COMMITTEE. SEE COMMENT 1)	CA Attorneys for Criminal Justice (CACJ)	CACJ
California Attorneys for Criminal Justice (NOTE: THIS ANALYSIS REFLECTS AUTHOR'S AMENDMENTS TO BE PROPOSED IN COMMITTEE.)	CA Attorneys for Criminal Justice (CACJ)	CACJ
California Attorneys, Administrative Law Judges, Hearing Officers and Deputy Labor Commissioners in: State Service	California Attorneys Administrative Law Judges and Hearing Officers in State Employment	CASE
California Bankers	American Bankers Association	CBA
California Bankers Asso	American Bankers Association	CBA
California Bankers Associaition	American Bankers Association	CBA
California Bankers Association (9/8/99)	American Bankers Association	CBA
California Bankers Association (as amended May 21, 2015)	American Bankers Association	CBA
California Bankers Association (As Amended)	American Bankers Association	CBA
California Bankers Association (as proposed to be amended)	American Bankers Association	CBA
California Bankers Association (based on prior version)	American Bankers Association	CBA
California Bankers Association (prior version)	American Bankers Association	CBA
California Bankers Association (Section 1)	American Bankers Association	CBA
California Bankers Association - 04/29/03	American Bankers Association	CBA
California Bankers Association - Sponsor	American Bankers Association	CBA
California Bankers Associations	American Bankers Association	CBA
California Black Chamber - Council of Chambers	CALIFORNIA BLACK CHAMBER OF COMMERCE	CABlackChamber
California Broadcasters Association: OPPOSTION	CALIFORNIA BROADCASTERS ASSOCIATION	broadcasters assn
California Business Association Properties Association	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	business properties assn
California Business Properties Asso	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CBPA
California Business Properties Assocaiton	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CBPA
California Business Properties Assocation	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CBPA
California Business Properties Associatin	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CBPA
California Business Properties Association, Sacramento County	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CBPA
California Business Properties Associations	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CBPA
California Business Properties Associatoin	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CBPA
California Business Properties Assoicaiton	CALIFORNIA BUSINESS PROPERTIES ASSOCIATION	CBPA
California California Association For Health	California Association for Health	CalAssocHealth
California Chamber of the American Fence Association	American Fence Association, California Chapter	American Fence
California Chapter (NASW)	NATIONAL ASSOCIATION OF SOCIAL WORKERS	NASW
California Chapter - American Fence Contractors' Association	AMERICAN FENCE CONTRACTORS' ASSOCIATION	American Fence Contractors
California Chapter -- American Fence Contractors' Association	AMERICAN FENCE CONTRACTORS' ASSOCIATION	American Fence Contractors
California Chapter American Association of Clinical Endocrinologists	American Association of Clinical Endocrinologists	AACE
California Chapter California Sportsman's Lobby	CALIFORNIA SPORTSMAN'S LOBBY	Sportsman Lobby
California Chapter of American Fence Contractors' Association	AMERICAN FENCE CONTRACTORS' ASSOCIATION	AFEC
California Chapter of International Association of Personnel in Employment Security	Personnel in Employment Security	IAPES
California Chapter of the American College of Cardiology (4/6/15 version)	American College of Cardiology	ACC
California Chapter of the American College of Emergency Physicians (prior version)	AMERICAN COLLEGE OF EMERGENCY PHYSICIANS	ACEP
California Chapter Of The American College Of Emergency Physicians (prior version)	AMERICAN COLLEGE OF EMERGENCY PHYSICIANS	ACEP
California Chapter of the American College: of Emergency Physicians	AMERICAN COLLEGE OF EMERGENCY PHYSICIANS	ACEP
California Chapter of the American Planning Association (as proposed to be amended)	AMERICAN PLANNING ASSOCIATION	APA
California Chapter, American Physical: Therapy Association (APTA)	AMERICAN PHYSICAL THERAPY ASSOCIATION	APTA
California Chapters of American Fire Sprinkler Association (prior version)	AMERICAN FIRE SPRINKLER ASSOCIATION	AFSA
California Charities of California	CATHOLIC CHARITIES OF CALIFORNIA	Catholic Charities
California Child Care Resource & Referral Network - sponsor	CHILD CARE RESOURCE & REFERRAL NETWORK	CA Child Care R&R Network
California Children and Families Commission (First 5)	CALIFORNIA CHILDREN AND FAMILIES COMMISSION	First 5 / Prop 10
California Children's Health Coverage Coalition (Children's Defense Fund - California, United Ways of California, The Children's Partnership, California Coverage and Health Initiatives, Children Now)	California Children's Health Coverage Coalition	Children's Health Coverage
California Church of Jewish Women	NATIONAL COUNCIL OF JEWISH WOMEN	NCJW CA (OCR)
California Clinical Laboratory Association (CCLA - sponsor)	American Clinical Laboratory Association	CCLA
California Clinical Laboratory Association (previous version)	American Clinical Laboratory Association	CCLA
California Clinical Laboratory Association (prior version)	American Clinical Laboratory Association	CCLA
California Coalition of Agencies Serving Deaf & and of Hearing Persons (CCASDHH)	California Coalition of Agencies Serving the Deaf and Hard of Hearing	agencies serving deaf
California Coalition of Agencies serving the Deaf and Hard of Hearing (Sponsors)	California Coalition of Agencies Serving the Deaf and Hard of Hearing	agencies serving deaf
California Coastal Commission (committee analysis)	California Coastal Commission	coastal commission
California College of Emergency Physicians (California ACEP)	California ACEP	ACEP
California Communications Association-Independent Telephone Company Group	California Communications Association	Communications Assn
California Communities Against Toxics (committee analysis)	California Communities Against Toxics	CCAT
California Conference Board of the (Kuehl) Union	CALIFORNIA CONFERENCE BOARD OF THE AMALGAMATED TRANSIT UNION	ATU CA Conf Bd
California Conference Board of the Amalgamated Trans. Union	CALIFORNIA CONFERENCE BOARD OF THE AMALGAMATED TRANSIT UNION	ATU CA Conf Bd
California Conference Board of the Amalgamated Transit Union (prior version)	CALIFORNIA CONFERENCE BOARD OF THE AMALGAMATED TRANSIT UNION	ATU CA Conf Bd
California Conference Board of the Amalgamated: Transit Union	CALIFORNIA CONFERENCE BOARD OF THE AMALGAMATED TRANSIT UNION	ATU CA Conf Bd
California Conference board of the Amalgarnated Transit Union	CALIFORNIA CONFERENCE BOARD OF THE AMALGAMATED TRANSIT UNION	ATU CA Conf Bd
California Conference Board- Amalgamated Transit Union	CALIFORNIA CONFERENCE BOARD OF THE AMALGAMATED TRANSIT UNION	ATU CA Conf Bd
California Consortium of Addiction Programs and Professionals (CCAPP), sponsor of the bill	CALIFORNIA CONSORTIUM OF ADDICTION PROGRAMS AND PROFESSIONALS	CCAPP
California Council for Environmental and Economic Balance (CCEEB) has taken an 'oppose' position and	Council for Environmental and Economic Balance	CCEEB
California Council of Community Behavioral Health Agencies (CCBHA), sponsor of the bill	CALIFORNIA COUNCIL OF COMMUNITY BEHAVIORAL HEALTH AGENCIES	CCBHA
California Council of Community Mental (Yee)	CALIFORNIA COUNCIL OF COMMUNITY MENTAL HEALTH AGENCIES	CCMHA
California Council of Service Employees International Union (SEIU)	California Council of the Service Employees International Union	SEIU CA
California Council of the Blind (CCB) writes	CALIFORNIA COUNCIL OF THE BLIND	Council of the Blind
California Council of the Blind - Sponsor	CALIFORNIA COUNCIL OF THE BLIND	Council of the Blind
California Council of the Blind Protection and Advocacy	CALIFORNIA COUNCIL OF THE BLIND	Council of the Blind
California Council of the Service Employees International Union (SEIU)	California Council of the Service Employees International Union	SEIU CA
California Court Reporters Association (co-sponsor) and	CALIFORNIA COURT REPORTERS ASSOCIATION	CCRA
California Credit Union League writes	CALIFORNIA CREDIT UNION LEAGUE	Credit Union League
California Crime Victims United	Crime Victims United of California	Crime Victims United
California Democratic Party - African American Caucus	African American Caucus of the California Democratic Party	CDP caucus
California Democratic Party - Environmental Caucus	California Democratic Party Environmental Caucus	CDP caucus
California Democratic Party Disabilities	California Democratic Party Disabilities Caucus	CDP caucus
California Democratic Party Environment Caucus	California Democratic Party Environmental Caucus	CDP caucus
California Democratic Party LGBT Caucus	Lgbt Caucus of The California Democratic Party	CDP caucus
California Democratic Party's Chicano Latino Caucus	Chicano/Latino Caucus of the California Democratic Party	CDP caucus
California Democratic Party's Environmental Caucus	California Democratic Party Environmental Caucus	CDP caucus
California Democratic Party, Arab American Caucus	Arab American Caucus, California Democratic Party	CDP caucus
California Democratic Party, Asian Pacific Islander Caucus	Asian Pacific Islander Caucus of the California Democratic Party	CDP caucus
California Democratic Party, Chicano/Latino Caucus	Chicano/Latino Caucus of the California Democratic Party	CDP caucus
California Democratic Party, Senior Caucus	Senior Caucus of the California Democratic Party	CDP caucus
California Dental Association : GOVERNOR'S VETO MESSAGE	CALIFORNIA DENTAL ASSOCIATION	CDA
California Dental Association: GOVERNOR'S VETO MESSAGE	CALIFORNIA DENTAL ASSOCIATION	CDA
California Department of Corrections (3/20/95)	CALIFORNIA DEPARTMENT OF CORRECTIONS	CDC
California Department of Corrections (letter 6/15/97)	CALIFORNIA DEPARTMENT OF CORRECTIONS	CDC
California Department of Corrections (SEE COMMENT 4 FOR RECOMMENDATIONS OF THE SUBCOMMITTEE ON PRISON CONSTRUCTION AND OPERATIONS)	CALIFORNIA DEPARTMENT OF CORRECTIONS	CDC
California Department of Corrections (SEE COMMENT 6 FOR RECOMMENDATION OF THE SUBCOMMITTEE ON PRISON CONSTRUCTION AND OPERATIONS FROM APRIL 14, 1998)	CALIFORNIA DEPARTMENT OF CORRECTIONS	CDC
California Department of Corrections (sponsor - Section 1 and 2)	CALIFORNIA DEPARTMENT OF CORRECTIONS	CDC
California Department of Finance (NOTE: SUPPORT AND OPPOSITION REFLECTS APRIL 20, 2004 VERSION OF THE BILL.)	CALIFORNIA DEPARTMENT OF FINANCE	CA Dept of Finance
California Department of Insurance (CDI)/Sponsor	CALIFORNIA DEPARTMENT OF INSURANCE	CA Dept of Insurance
