originalname,editedname,relationship_type
ALAMEDA COUNTY FOSTER YOUTH ALLIANCE,ALAMEDA COUNTY FOSTER YOUTH ALLIANCE,canonical
ALAMEDA COUNTY HOMELESS ACTION CENTER,ALAMEDA COUNTY HOMELESS ACTION CENTER,canonical
ALAMEDA COUNTY HOUSING AUTHORITY,ALAMEDA COUNTY HOUSING AUTHORITY,canonical
ALAMEDA COUNTY RESOURCE CONSERVATION DISTRICT,ALAMEDA COUNTY RESOURCE CONSERVATION DISTRICT,canonical
ALAMEDA COUNTY SOCIAL SERVICES AGENCY,ALAMEDA COUNTY SOCIAL SERVICES AGENCY,canonical
ALAMEDA COUNTY SUPERVISOR KEITH CARSON- DISTRICT 5,ALAMEDA COUNTY SUPERVISOR KEITH CARSON- DISTRICT 5,canonical
ALAMEDA COUNTY SUPERVISOR WILMA CHAN,ALAMEDA COUNTY SUPERVISOR WILMA CHAN,canonical
ALAMEDA COUNTY TRANSPORTATION COMMISSION,ALAMEDA COUNTY TRANSPORTATION COMMISSION,canonical
ALAMEDA RENTERS COALITION,ALAMEDA RENTERS COALITION,canonical
ALBANY COUNCILMEMBER ROCHELLE NELSON,ALBANY COUNCILMEMBER ROCHELLE NELSON,canonical
ALBANY NEIGHBORS UNITED,ALBANY NEIGHBORS UNITED,canonical
ALBERT EINSTEIN RESIDENCE CENTER,ALBERT EINSTEIN RESIDENCE CENTER,canonical
ALHAMBRA,ALHAMBRA,canonical
ALHAMBRA RETIREMENT COMMUNITY,ALHAMBRA RETIREMENT COMMUNITY,canonical
"ALIANZA NACIONAL DE CAMPENSINAS, INC.","ALIANZA NACIONAL DE CAMPENSINAS, INC.",canonical
"ALIMUR PARK HOMEOWNERS ASSOCIATION, SOQUEL","ALIMUR PARK HOMEOWNERS ASSOCIATION, SOQUEL",canonical
ALISAL UNION SCHOOLDISTRICT,ALISAL UNION SCHOOLDISTRICT,canonical
ALL HOME,ALL HOME,canonical
ALL OF US OR NONE,ALL OF US OR NONE,canonical
ALL PEOPLES COMMUNITY CENTER,ALL PEOPLES COMMUNITY CENTER,canonical
ALL SAINTS CHURCH FOSTER CARE PROJECT,ALL SAINTS CHURCH FOSTER CARE PROJECT,canonical
ALL SAINTS CHURCH MEMBERS,ALL SAINTS CHURCH MEMBERS,canonical
"ALL SAINTS CHURCH, PASADENA","ALL SAINTS CHURCH, PASADENA",canonical
"ALL SOULS EPISCOPAL PARISH, BERKELEY","ALL SOULS EPISCOPAL PARISH, BERKELEY",canonical
ALLEN TEMPLE ARMS RESIDENT COUNCIL,ALLEN TEMPLE ARMS RESIDENT COUNCIL,canonical
ALLIANCE (CMPA),ALLIANCE (CMPA),canonical
ALLIANCE FOR BOYS AND MEN OF COLOR,ALLIANCE FOR BOYS AND MEN OF COLOR,canonical
