org_name,count
Long Term Care Interagency Commission/County,1
Los County District Attorney's Office,2
Riverside County Chiefs of Police and Sheriffs,2
SB 1637 - Veterans Affairs Committee,4
SB 1838 - SRT Committee,4
San Diego. San Luis Obispo,1
School/San Rafael (Marin Co),1
The State Bar of CaliforniaHarriett Buhai Center for,4
Truth Love Justice - John C. Carpenter,1
Tulare County/District SELPA,1
Tuolumne County Interagency Early,4
"Union 11, 18, 45, 302, 551, 569, 595, 684",1
Anti-Discrimination Committee Numerous individuals,1
Department of Psychiatry 93 private citizens,1
Judicial Council of California and supported by the California Public Defenders Association,1
"Agencies, California League of Conservation",2
"California Association of Realtors, Civil",2
"Central, San Jose, San Pedro, Santa Barbara, Santa Cruz County, Sausalito, Sebastopol, SF, SF Peninsula and CA-14, SFV, Sherman Oaks, Sonoma",2
"Kern, Los Angeles, Los Rios, Mt. San Jacinto and Yosemite Community",2
"Mesa, Covina, El Cajon, Elk Grove, Fairfield, Fremont, Garden Grove, Glendale, Healdsburg, Livermore, Merced, Murrieta, Novato, Pasadena, Rancho Cordova, Red Bluff, Redwood City, Sacramento, San Luis Obispo, San",2
Natural Resources Defense CouncilState Water Resources Control,1
Various Other Public and PrivateDozens of Private Investigators,1
