org_name,count
Reproductive Justice,7
Rights of Los Angeles,7
Rural,7
San Bernardino County Board of,7
San Diego County District,7
Sea Urchin Harvester's Processors' Association of,7
Self,7
Small,7
Society of,7
State Bar Committee on,7
Street,7
Sustainable Environment and Economy for California,7
Technologies,7
"Technologies, Inc",7
Tort,7
Unified,7
Waterford,7
Writing in,7
b,7
of Education,7
of Police,7
of Santa Monica,7
of Southern California,7
of the 2015-16 Legislative Session,7
pic,7
"Association, Inc",7
LCSW,7
Representing,7
Special,7
Geologists,7
Pax,7
Social,7
The Trust,7
Universities,7
Wings,7
all,7
Ica,7
Please,7
Our organizations,7
1245 (Walnut Creek),6
2,6
21st Century,6
3rd District,6
Action Alliance,6
Admin,6
Administrator,6
Advertising,6
Advisors of California,6
Advisors-California,6
Again,6
Airport,6
American G,6
Andes,6
Anesthesiologists,6
Armed Forces Retirees Association of,6
Association of Orange,6
Association of San Francisco,6
Blue,6
Blythe,6
CA Chapter,6
California Association of Immigration,6
California Association of Joint,6
California Chapters of the National Association of,6
California Department of,6
"California Department of Education, State Superintendent of",6
California Federation for,6
California Host,6
"California, Davis",6
"California, San Francisco",6
Californians Allied for,6
Campaign for California,6
Cardiology,6
Catholic,6
Chemical,6
Chemical Industry Council of,6
Citizen,6
City College of,6
City of Yolo,6
Club of Southern California,6
Committee on the Administration of,6
Commonweal/Californians for,6
Community Action,6
Concerns/Other,6
Cooperative,6
County Alcohol & Drug Program Administrators Association of,6
County Municipal Court,6
Cover,6
Cox,6
Cruelty to Animals,6
DA,6
Department of Consumer,6
Deputy Sheriffs Association of,6
Director Dist. 17,6
District 9,6
Driven,6
East Bay Community,6
Employee,6
Encore,6
Engineer and Scientists of California,6
Enough,6
Environmental Action,6
Executive Council of,6
Fair Housing Council of,6
Farms,6
Fernando Valley Chapter,6
Fighters,6
Fire Department Chiefs of the Counties of,6
Fishers,6
Forces,6
GRP,6
Growers Association,6
HR,6
Heating,6
High School District,6
Humane,6
Insurance Agents,6
Jackson,6
LG,6
La Raza,6
Leadership Group,6
Levin,6
Lifeguard,6
Los Angeles Area Chamber of,6
Lutheran Church,6
Magnet,6
Marin County Board of,6
Marine Corps,6
Master Plan,6
Mateo County,6
Medium,6
Michael,6
Monterey Peninsula,6
Mutual,6
National Association of Counsel for,6
National Council on,6
National Rifle Association of,6
Nisei,6
Nursing,6
Officers Assn,6
Ombudsman,6
Organizations Expressing Concern,6
Outdoor Sportsman's Coalition of,6
PTPN,6
Page n,6
Page p,6
Pale Blue,6
Palo,6
Parenthood of California,6
Patients,6
Preservation,6
Prevent,6
Prevention Center,6
Principles,6
Prisoners,6
Professional Insurance Agents of,6
"Professional and Technical Engineers, International Federation of",6
Property,6
Province,6
Ranch,6
Rape,6
Recreation,6
Rehabilitation,6
Reservation,6
Retiree Club,6
Retirement System,6
River Charter School,6
School of Medicine,6
Security,6
Senior Assembly Member,6
Services at Home,6
Sheriff-Coroner Department,6
Southern California Chapter,6
State of,6
States Council of the United Food & Commercial,6
Sustaenable,6
The Fund,6
The Progress,6
The Women's,6
Trauma,6
Trucking Association,6
Trusts,6
Union High School District,6
Utility Workers Union of,6
WIC Breastfeeding Consortium of,6
Western Electrical,6
Western Regional,6
Wheels,6
Wildlife,6
X X,6
for Children,6
for Independent Living Centers,6
for Retired Americans,6
m,6
of Bicycling Organizations,6
of California Water Agencies,6
of Christ,6
of Pediatrics,6
of Social Workers,6
of Teachers,6
of West Hollywood,6
of the 2017-18 Legislative Session,6
of the Attorney General,6
or for bond,6
University School of Law,6
cut,6
pe,6
Development Inc,6
Boards,6
Fuscoe,6
Hardy,6
Institute/Center for,6
Laguna Woods,6
Leaders LA,6
REMCO,6
case law,6
for one position,6
long-term,6
s office,6
4.,5
ACIP,5
Action Fund,5
Actors and Others for,5
Agency on Aging,5
Agricultural Council of,5
Alameda County District,5
American Civil Liberties Union of,5
Angeles Area Chamber of Commerce,5
Applied,5
"Association of California, Inc",5
Association of Korean Asian Medicine & Acupuncture of California,5
Automobile,5
Barbara Counties,5
Beach Police Officers Association,5
Belvedere,5
