narrative_text,mapped_org,count
Health Trust of Silicon Valley to increase the use of a specified disease management strategy,Health Trust of Silicon Valley,1
Hoag Memorial Hospital Presbyterian (35 individuals associated with it),Hoag Memorial Hospital Presbyterian,1
IMPACT (Independently Merging Parent Associations of California - Together for deaf and hard of hearing children),IMPACT (Independently Merging Parent Associations of),1
INTERVAL RESEARCH (support for non-resident S Corporation group return provision),Interval Research Corporation,1
Independent Administrators Association (Third-party administrators of employee benefit plans),INDEPENDENT ADMINISTRATORS ASSOCIATION,1
Independent Administrators Association of California (employee benefit welfare plans),Independent Administrators Association of California,1
Indivisible CA: StateStrong a coalition of the following Indivisible groups:,INDIVISIBLE CA STATESTRONG,1
Institute for the Advancement of the American Legal System out of the University of Denver,Institute for the Advancement of the American Legal System,1
Insurance Agents and Brokers Legislative Council and an information service company,Insurance Agents and Brokers Legislative Council,1
"International Association of EMTs and Paramedics, co-sponsor of the bill",International Association of Emts and Paramedics,2
International Bodyguard Association (provisions relating to concealed weapons permit exemption),International Bodyguard Association,1
Japan Business Association (represents many of the groups listed below),Japan Business Association,1
Korean Drycleaners Association of Northern California (on its own behalf and on behalf of 108 businesses),Korean Drycleaners Association of Northern California,1
Korean Drycleaners-Laundry Association (on its own behalf and on behalf of 235 businesses),Korean Drycleaners-Laundry Association,1
Local Health Plans of California in an effort to identify methods of simplifying the complex aid codes,LOCAL HEALTH PLANS OF CALIFORNIA,1
Los Angeles Affiliate of the National Association of Counsel for Children to help ensure greater coordination of separate dependency proceedings involving siblings,Los Angeles Affiliate of the National Association of Counsel for Children,1
Los Angeles Worker Advocates Coalition and several individual worker advocate groups,LOS ANGELES WORKER ADVOCATES COALITION,1
Marin Council of Agencies (association of 1320 nonprofits in Marin County),Marin Council of Agencies,1
"Metropolitan Water District of Southern California, sponsor of this measure",METROPOLITAN WATER DISTRICT OF SOUTHERN CALIFORNIA,2
"Mexican American Legal Defense Fund (MALDEF), the nation's leading Latino legal civil rights organization",Mexican American Legal Defense Fund (MALDEF),1
"Money Services Round Table (TMSRT), a consortium of leading national non-bank money transmission companies",MONEY SERVICES ROUND TABLE,1
Napa Valley Vintners (representing over 300 wineries in the Napa region),Napa Valley Vintners,1
National Association of Settlement Purchasers to clarify several technical aspects of settlement transactions,National Association of Settlement Purchasers,1
National Union of American Physicians and Dentists as well as the American Federation of,Union of American Physicians and Dentists (UAPD),1
Office of Statewide Health Planning and Development to review the evaluate the effectiveness of the HPDAC,OFFICE OF STATEWIDE HEALTH PLANNING AND DEVELOPMENT,1
Office of the District Attorney of the City and the County of San Francisco,Office of the District Attorney,1
"Orange County Employees Association, seeks to extend these same due diligence protections to the trial courts",Orange County Employees Association,1
Organization from which support was received for current version of bill: California Catholic Conference of Bishops,CALIFORNIA CATHOLIC CONFERENCE,1
