org_name,bills_supported
"Council President Scott Peters, City of San Diego",3
"Council of Aging, City of Los Angeles",3
Northcoast Advocacy Services,3
"Council on Aging, City of Huntington Beach",3
"County Behavioral Health Directors Association (CBHDA), in opposition",3
"Crohn's & Colitis Foundation, cosponsor of",3
Department of Health Care Services,3
California Opioid Maintenance Providers,3
"Daniel Givens, Chief of Police, City of El Cerrito",3
"Daniel Lurie, Mayor, City of San Francisco",3
"Darrell Steinberg, Mayor, City of Sacramento",3
"Daryl M. Wicker, Chief of Police, City of Cypress",3
"David L. Snowden, Chief of Police, City of Costa Mesa",3
"David S. Barr, Chief of Police, City of La Palma",3
"Del Mar, City of",3
Eagle Lake Audubon Society,3
"Department of Employment and Social Services, County of Yolo",3
"Department of Military and Veterans Affairs, County of Los",3
"Department of Public Social Services, County of Riverside",3
"District Attorney, County of San Bernardino",3
"Drew Boyles, Mayor, City of El Segundo",3
"Earl Wilson, City Administrator, City of Weed",3
"Edwin M. Lee, Mayor, City of San Francisco",3
"Employees/Communications: Workers of America, Local 9119",3
Endecon Engineering,3
"Eric Guerra, Mayor Pro Tem, City of Sacramento",3
City of Escondido,3
Feather River Fly Fishers,3
Family Law Section of the State Bar of California,3
"Estate Planning, Trust and Probate Law Section of the State Bar of California",3
"Franchise Tax Board (FTB), which",3
"Garrett W. Zimmon, Chief of Policy, City of San Bernardino",3
"Gary S. Penrod, Sheriff, County of San Bernardino",3
California Highway Patrol,3
California Department of Transportation,3
"Gordon E. Pitter, Chief of Police, City of Oroville",3
"Greg Smith, Assessor, County of San Diego",3
"Harold Barker, Chief of Police, City of Folsom",3
"Health Access California, a cosponsor of",3
"Heather Fargo, Mayor, City of Sacramento",3
City of Hermosa Beach,3
League of California Cities,3
"Hoffman-LaRoche, Inc.",3
"Hon. Jim Maready, Sheriff-Coroner, County of Del Norte",3
"Honorable Johan Klehs, member, Board of Equalization",3
"Howard, Weil, Labouisse, Friedriches, Inc",3
"Human Services Department, County of Siskiyou",3
"International Association of Business Communicators (Sacramento Valley Chapter)",3
"Janelle Kellman, Mayor, City of Sausalito",3
"John Jansons, City Manager, City of Kerman, CA",3
"John M. Simpson, Chief of Police, City of Marysville",3
"John R. Robertson, Chief of Police, City of Orange",3
"Karyl Matsumoto, Mayor, City of So. San Francisco",3
