org_name,bills_supported
"Women's Foundation of California, Women's Policy Institute",11
Unable to reverify,11
Tuolumne County Chamber of Commerce,11
"Transgender, Gendervariant, Intersex Justice Project",11
Torrance,11
The Walt Disney Company,11
The California Labor Federation,11
Secretary,11
Santa Rosa Chamber of Commerce,11
San Ysidro Chamber of Commerce,11
San Juan Capistrano Chamber of Commerce,11
San Francisco Mayor Gavin Newsom,11
San Francisco Mayor Edwin Lee,11
PageE,11
Pacific Life,11
PPIC,11
Oppose None reported to committee,11
"Ochin, Inc",11
No Known,11
Nine individuals,11
Mountain View Chamber of Commerce,11
Mayor of San Francisco,11
Mayor Matt Mahan,11
"International Brotherhood of Electrical Workers, Local 1245",11
Interagency Council on Child Abuse and Neglect,11
Governor Davis,11
Goleta Valley Chamber of Commerce,11
Fontana Chamber of Commerce,11
"Fiona Ma, California State Treasurer",11
Downey Chamber of Commerce,11
Dependency Legal Services (UNREG),11
Dana Point Chamber of Commerce,11
"California State Controller, John Chiang",11
California Common Cause (prior version),11
CONNECT,11
Association of School Administrators,11
Associated General Contractors of CA,11
"As of July 7, 1995",11
Arc,11
42 individuals,11
31 Individuals,11
23 individuals,11
2 private individuals,11
1 individual letter,11
wrote,10
six individuals,10
of CA,10
five individuals,10
eBay,10
amended,10
also,10
Yorba Linda Chamber of Commerce,10
WorkSafe,10
"Western United Dairymen (""In Concept"")",10
"Western Growers Association (""In Concept"")",10
Weave,10
We strongly,10
United Food and Commercial Workers - Western States Council,10
Treasurer Bill Lockyer,10
Three private individuals,10
Southern California Black Chamber of Commerce,10
Sf Yimby,10
Senator Dianne Feinstein,10
San Pedro Peninsula Chamber of Commerce,10
San Francisco African American Chamber of Commerce,10
Prior version,10
Perris Valley Chamber of Commerce,10
People,10
Palm Desert Chamber of Commerce,10
Mission Viejo Chamber of Commerce,10
"Milk Producers Council (""In Concept"")",10
Maryvale,10
Lodi Chamber of Commerce,10
"League of California Cities (""In Concept"")",10
Joint Venture Silicon Valley Network,10
Individuals (2),10
"Homes for Life Foundation, Los Angeles",10
"Fullerton, City of",10
Fontana,10
Feminists in Action (formerly Indivisible CA 34 Womens),10
"Far West Equipment Dealers Association (""In Concept"")",10
"Emeryville, City of",10
Education Trust-West EdVoice,10
"Edison International and Affiliates, including Southern California Edison",10
County and Municipal Employees California Labor Federation,10
Councilmember Zach Hilton,10
City of Stockton Police Department,10
City of Oakland Mayor Sheng Thao,10
