org_name,bills_supported
(unable to re-verify at time of this writing),33
Santa Monica Chamber of Commerce,32
Napa,32
"Los Angeles Probation Officers' Union, AFSCME, Local 685",32
Insurance Commissioner Ricardo Lara / California Department of Insurance,32
Indivisible Sonoma County,32
Indivisible East Bay,32
Greater Conejo Valley Chamber of Commerce,32
"Elders Climate Action, NorCal Chapter",32
California Labor Federation (CLF),32
"American Association of University Women, California",32
1 Private Individual,32
Unite Here,31
South Bay Labor Council,31
Sierra Club-California,31
"Secretary of State, Alex Padilla",31
San Francisco Fire Fighters Local 798,31
San Diego Audubon Society,31
San Bernardino County District Attorney,31
Reproductive Freedom for All California,31
Planned Parenthood of California,31
"Orange County Professional Firefighters Association, Local 3631",31
Orange,31
Oakland Metropolitan Chamber of Commerce,31
Numerous individual letters,31
Milpitas Chamber of Commerce,31
Los Angeles Mayor Eric Garcetti,31
"Elders Climate Action, SoCal Chapter",31
El Dorado Hills Chamber of Commerce,31
East Valley Indivisibles,31
Carlsbad Chamber of Commerce,31
California Police Chiefs Association Inc,31
American Association of University Women California,31
AeA,31
The Parent Company,30
The League of Women Voters of California,30
Several individual letters,30
Sacramento Hispanic Chamber of Commerce,30
Other,30
Office,30
No known,30
National Alliance on Mental Illness California,30
Irvine Chamber of Commerce,30
Garden Grove Chamber of Commerce,30
Cloverdale Indivisible,30
Audobon California,30
American Subcontractors Association of California,30
"American Council of Engineering Companies, California",30
5 Individuals,30
Yolo County Sheriff's Department,29
State Controller Steve Westly,29
Six individuals,29
San Francisco,29
Re:Store Justice,29
Prevent Child Abuse California,29
Neutral,29
Los Angeles Alliance for a New Economy (LAANE),29
Lieutenant Governor Gavin Newsom,29
Indivisible Media City Burbank,29
Individual letter,29
ETTA,29
Clean Water Action California,29
Cal Fire Local 2881,29
Anaheim Chamber of Commerce,29
"American Federation of State, County and Municipal: Employees (AFSCME)",29
"American Federation of State, County and Municipal Employees (AFL-CIO)",29
for the Aging,28
Three Individuals,28
Riverside,28
Orange County Professional Firefighters Association,28
Opposition (unless amended),28
National Association of Social Workers California Chapter,28
National Alliance on Mental Illness (NAMI-CA),28
Los Angeles County Fire Fighters Local 1014,28
Livermore Indivisible,28
Calpirg,28
California State Sheriffs' Association (CSSA),28
California Firefighters Association,28
CalAsian Chamber of Commerce,28
Asian Pacific Environmental Network (APEN),28
"AMVETs, Department of California",28
AB,28
8 Individuals,28
WateReuse Association of California,27
The Paw Project,27
South Bay AFL-CIO Labor Council,27
Sacramento Central Labor Council,27
Planned Parenthood Golden Gate,27
Palm Desert Area Chamber of Commerce,27
Orchard City Indivisible,27
